26.80, 27.00, 0.10, 4.02
27.00, 27.20, 0.10, 4.02
27.20, 27.40, 0.10, 4.02
27.40, 27.60, 0.09, 3.97
27.60, 27.80, 0.10, 4.08
27.80, 28.00, 0.10, 4.02
28.00, 28.20, 0.10, 4.02
28.20, 28.40, 0.09, 3.97
28.40, 28.60, 0.10, 4.08
28.60, 28.80, 0.09, 3.97
28.80, 29.00, 0.10, 4.08
29.00, 29.20, 0.10, 4.02
29.20, 29.40, 0.09, 3.97
29.40, 29.60, 0.10, 4.02
29.60, 29.80, 0.10, 4.08
29.80, 30.00, 0.10, 4.02
30.00, 30.20, 0.09, 3.97
30.20, 30.40, 0.10, 4.08
30.40, 30.60, 0.09, 3.91
30.60, 30.80, 0.10, 4.08
30.80, 31.00, 0.10, 4.02
31.00, 31.20, 0.10, 4.08
0.00, 31.33, 20.0, 5.36

0.00, 0.20, 0.14, 5.74
0.20, 0.40, 0.10, 4.11
0.40, 0.60, 0.10, 4.06
0.60, 0.80, 0.10, 4.00
0.80, 1.00, 0.10, 4.11
1.00, 1.20, 0.10, 4.11
1.20, 1.40, 0.10, 4.11
1.40, 1.60, 0.10, 4.06
1.60, 1.80, 0.10, 4.06
1.80, 2.00, 0.10, 4.11
2.00, 2.20, 0.10, 4.00
2.20, 2.40, 0.10, 4.17
2.40, 2.60, 0.10, 4.00
2.60, 2.80, 0.10, 4.11
2.80, 3.00, 0.10, 4.11
3.00, 3.20, 0.10, 4.06
3.20, 3.40, 0.10, 4.11
3.40, 3.60, 0.10, 4.06
3.60, 3.80, 0.10, 4.06
3.80, 4.00, 0.10, 4.11
4.00, 4.20, 0.10, 4.00
4.20, 4.40, 0.03, 1.46
4.40, 4.60, 0.00, 0.00
4.60, 4.80, 0.00, 0.00
4.80, 5.00, 0.00, 0.00
5.00, 5.20, 0.00, 0.00
5.20, 5.40, 0.00, 0.00
5.40, 5.60, 0.00, 0.00
5.60, 5.80, 0.00, 0.00
5.80, 6.00, 0.00, 0.00
6.00, 6.20, 0.00, 0.00
6.20, 6.40, 0.00, 0.00
6.40, 6.60, 0.00, 0.00
6.60, 6.80, 0.00, 0.00
6.80, 7.00, 0.00, 0.00
7.00, 7.20, 0.00, 0.00
7.20, 7.40, 0.00, 0.00
7.40, 7.60, 0.00, 0.00
7.60, 7.80, 0.00, 0.00
7.80, 8.00, 0.00, 0.00
8.00, 8.20, 0.00, 0.00
8.20, 8.40, 0.00, 0.00
8.40, 8.60, 0.00, 0.00
8.60, 8.80, 0.00, 0.00
8.80, 9.00, 0.00, 0.00
9.00, 9.20, 0.00, 0.00
9.20, 9.40, 0.00, 0.00
9.40, 9.60, 0.00, 0.00
9.60, 9.80, 0.00, 0.00
9.80, 10.00, 0.00, 0.00
10.00, 10.20, 0.00, 0.00
10.20, 10.40, 0.00, 0.00
10.40, 10.60, 0.00, 0.00
10.60, 10.80, 0.00, 0.00
10.80, 11.00, 0.00, 0.00
11.00, 11.20, 0.00, 0.00
11.20, 11.40, 0.00, 0.00
11.40, 11.60, 0.00, 0.00
11.60, 11.80, 0.00, 0.00
11.80, 12.00, 0.10, 4.34
12.00, 12.20, 0.10, 4.06
12.20, 12.40, 0.10, 4.06
12.40, 12.60, 0.07, 2.82
12.60, 12.80, 0.00, 0.00
12.80, 13.00, 0.00, 0.00
13.00, 13.20, 0.04, 1.80
13.20, 13.40, 0.38, 15.8
13.40, 13.60, 0.10, 4.06
