------------------------------------------------------------
Server listening on TCP port 5001 with pid 31524
Read buffer size: 20.0 MByte
TCP window size: 0.08 MByte (default)
------------------------------------------------------------
[  4] local 192.168.2.6 port 5001 connected with 188.206.99.238 port 60585
[ ID] Interval        Transfer    Bandwidth       Reads   Dist(bin=2560.0K)
[  4] 19.80-20.00 sec  0.10 MBytes  4.02 Mbits/sec  68    68:0:0:0:0:0:0:0
[  4] 20.00-20.20 sec  0.10 MBytes  4.02 Mbits/sec  69    69:0:0:0:0:0:0:0
[  4] 20.20-20.40 sec  0.10 MBytes  4.02 Mbits/sec  71    71:0:0:0:0:0:0:0
[  4] 20.40-20.60 sec  0.10 MBytes  4.02 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 20.60-20.80 sec  0.09 MBytes  3.97 Mbits/sec  58    58:0:0:0:0:0:0:0
[  4] 20.80-21.00 sec  0.10 MBytes  4.02 Mbits/sec  72    72:0:0:0:0:0:0:0
[  4] 21.00-21.20 sec  0.10 MBytes  4.24 Mbits/sec  64    64:0:0:0:0:0:0:0
[  4] 21.20-21.40 sec  0.09 MBytes  3.69 Mbits/sec  66    66:0:0:0:0:0:0:0
[  4] 21.40-21.60 sec  0.06 MBytes  2.64 Mbits/sec  42    42:0:0:0:0:0:0:0
[  4] 21.60-21.80 sec  0.04 MBytes  1.54 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 21.80-22.00 sec  0.03 MBytes  1.43 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 22.00-22.20 sec  0.04 MBytes  1.71 Mbits/sec  30    30:0:0:0:0:0:0:0
[  4] 22.20-22.40 sec  0.02 MBytes  1.05 Mbits/sec  19    19:0:0:0:0:0:0:0
[  4] 22.40-22.60 sec  0.04 MBytes  1.60 Mbits/sec  28    28:0:0:0:0:0:0:0
[  4] 22.60-22.80 sec  0.04 MBytes  1.49 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 22.80-23.00 sec  0.04 MBytes  1.65 Mbits/sec  27    27:0:0:0:0:0:0:0
[  4] 23.00-23.20 sec  0.03 MBytes  1.32 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 23.20-23.40 sec  0.04 MBytes  1.54 Mbits/sec  28    28:0:0:0:0:0:0:0
[  4] 23.40-23.60 sec  0.04 MBytes  1.54 Mbits/sec  27    27:0:0:0:0:0:0:0
[  4] 23.60-23.80 sec  0.03 MBytes  1.43 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 23.80-24.00 sec  0.04 MBytes  1.71 Mbits/sec  31    31:0:0:0:0:0:0:0
[  4] 24.00-24.20 sec  0.04 MBytes  1.60 Mbits/sec  26    26:0:0:0:0:0:0:0
[  4] 24.20-24.40 sec  0.04 MBytes  1.54 Mbits/sec  28    28:0:0:0:0:0:0:0
[  4] 24.40-24.60 sec  0.04 MBytes  1.65 Mbits/sec  29    29:0:0:0:0:0:0:0
[  4] 24.60-24.80 sec  0.03 MBytes  1.43 Mbits/sec  26    26:0:0:0:0:0:0:0
[  4] 24.80-25.00 sec  0.03 MBytes  1.43 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 25.00-25.20 sec  0.02 MBytes  0.88 Mbits/sec  16    16:0:0:0:0:0:0:0
[  4] 25.20-25.40 sec  0.04 MBytes  1.65 Mbits/sec  26    26:0:0:0:0:0:0:0
[  4] 25.40-25.60 sec  0.06 MBytes  2.59 Mbits/sec  45    45:0:0:0:0:0:0:0
[  4] 25.60-25.80 sec  0.04 MBytes  1.49 Mbits/sec  26    26:0:0:0:0:0:0:0
[  4] 25.80-26.00 sec  0.04 MBytes  1.76 Mbits/sec  31    31:0:0:0:0:0:0:0
[  4] 26.00-26.20 sec  0.03 MBytes  1.43 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 26.20-26.40 sec  0.03 MBytes  1.38 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 26.40-26.60 sec  0.04 MBytes  1.54 Mbits/sec  26    26:0:0:0:0:0:0:0
[  4] 26.60-26.80 sec  0.04 MBytes  1.60 Mbits/sec  29    29:0:0:0:0:0:0:0
[  4] 26.80-27.00 sec  0.04 MBytes  1.65 Mbits/sec  30    30:0:0:0:0:0:0:0
[  4] 27.00-27.20 sec  0.04 MBytes  1.60 Mbits/sec  29    29:0:0:0:0:0:0:0
[  4] 27.20-27.40 sec  0.04 MBytes  1.60 Mbits/sec  29    29:0:0:0:0:0:0:0
[  4] 27.40-27.60 sec  0.04 MBytes  1.82 Mbits/sec  32    32:0:0:0:0:0:0:0
[  4] 27.60-27.80 sec  0.05 MBytes  1.93 Mbits/sec  31    31:0:0:0:0:0:0:0
[  4] 27.80-28.00 sec  0.08 MBytes  3.19 Mbits/sec  54    54:0:0:0:0:0:0:0
[  4] 28.00-28.20 sec  0.12 MBytes  5.01 Mbits/sec  73    73:0:0:0:0:0:0:0
[  4] 28.20-28.40 sec  0.06 MBytes  2.37 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 28.40-28.60 sec  0.03 MBytes  1.38 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 28.60-28.80 sec  0.03 MBytes  1.32 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 28.80-29.00 sec  0.04 MBytes  1.65 Mbits/sec  29    29:0:0:0:0:0:0:0
[  4] 29.00-29.20 sec  0.04 MBytes  1.60 Mbits/sec  29    29:0:0:0:0:0:0:0
[  4] 29.20-29.40 sec  0.04 MBytes  1.49 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 29.40-29.60 sec  0.02 MBytes  0.99 Mbits/sec  16    16:0:0:0:0:0:0:0
[  4] 29.60-29.80 sec  0.02 MBytes  1.05 Mbits/sec  18    18:0:0:0:0:0:0:0
[  4] 29.80-30.00 sec  0.03 MBytes  1.10 Mbits/sec  18    18:0:0:0:0:0:0:0
[  4] 30.00-30.20 sec  0.04 MBytes  1.49 Mbits/sec  26    26:0:0:0:0:0:0:0
[  4] 30.20-30.40 sec  0.02 MBytes  1.05 Mbits/sec  17    17:0:0:0:0:0:0:0
[  4] 30.40-30.60 sec  0.03 MBytes  1.10 Mbits/sec  20    20:0:0:0:0:0:0:0
[  4] 30.60-30.80 sec  0.03 MBytes  1.16 Mbits/sec  21    21:0:0:0:0:0:0:0
[  4] 30.80-31.00 sec  0.03 MBytes  1.43 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 31.00-31.20 sec  0.04 MBytes  1.49 Mbits/sec  27    27:0:0:0:0:0:0:0
[  4] 31.20-31.40 sec  0.04 MBytes  1.65 Mbits/sec  30    30:0:0:0:0:0:0:0
[  4] 31.40-31.60 sec  0.04 MBytes  1.60 Mbits/sec  25    25:0:0:0:0:0:0:0
[  4] 31.60-31.80 sec  0.02 MBytes  1.05 Mbits/sec  18    18:0:0:0:0:0:0:0
[  4] 31.80-32.00 sec  0.03 MBytes  1.38 Mbits/sec  24    24:0:0:0:0:0:0:0
[  4] 32.00-32.20 sec  0.03 MBytes  1.43 Mbits/sec  25    25:0:0:0:0:0:0:0
